A: 4 | B: 4 | C: 4 | D: 4 (5000 steps)
n = 0 -> x: 0, y: 1, h: 0
n = 1 -> x: 0, y: 0.996, h: 0
n = 2 -> x: 0, y: 0.992016, h: 0
n = 3 -> x: 0, y: 0.988048, h: 0
n = 4 -> x: 0, y: 0.984096, h: 0
n = 5 -> x: 0, y: 0.980159, h: 0
n = 6 -> x: 0, y: 0.976239, h: 0
n = 7 -> x: 0, y: 0.972334, h: 0
n = 8 -> x: 0, y: 0.968444, h: 0
n = 9 -> x: 0, y: 0.964571, h: 0
n = 10 -> x: 0, y: 0.960712, h: 0
n = 11 -> x: 0, y: 0.95687, h: 0
n = 12 -> x: 0, y: 0.953042, h: 0
n = 13 -> x: 0, y: 0.94923, h: 0
n = 14 -> x: 0, y: 0.945433, h: 0
n = 15 -> x: 0, y: 0.941651, h: 0
n = 16 -> x: 0, y: 0.937885, h: 0
n = 17 -> x: 0, y: 0.934133, h: 0
n = 18 -> x: 0, y: 0.930397, h: 0
n = 19 -> x: 0, y: 0.926675, h: 0
n = 20 -> x: 0, y: 0.922968, h: 0
n = 21 -> x: 0, y: 0.919276, h: 0
n = 22 -> x: 0, y: 0.915599, h: 0
n = 23 -> x: 0, y: 0.911937, h: 0
n = 24 -> x: 0, y: 0.908289, h: 0
n = 25 -> x: 0, y: 0.904656, h: 0
n = 26 -> x: 0, y: 0.901037, h: 0
n = 27 -> x: 0, y: 0.897433, h: 0
n = 28 -> x: 0, y: 0.893843, h: 0
n = 29 -> x: 0, y: 0.890268, h: 0
n = 30 -> x: 0, y: 0.886707, h: 0
n = 31 -> x: 0, y: 0.88316, h: 0
n = 32 -> x: 0, y: 0.879628, h: 0
n = 33 -> x: 0, y: 0.876109, h: 0
n = 34 -> x: 0, y: 0.872605, h: 0
n = 35 -> x: 0, y: 0.869114, h: 0
n = 36 -> x: 0, y: 0.865638, h: 0
n = 37 -> x: 0, y: 0.862175, h: 0
n = 38 -> x: 0, y: 0.858726, h: 0
n = 39 -> x: 0, y: 0.855292, h: 0
n = 40 -> x: 0, y: 0.85187, h: 0
n = 41 -> x: 0, y: 0.848463, h: 0
n = 42 -> x: 0, y: 0.845069, h: 0
n = 43 -> x: 0, y: 0.841689, h: 0
n = 44 -> x: 0, y: 0.838322, h: 0
n = 45 -> x: 0, y: 0.834969, h: 0
n = 46 -> x: 0, y: 0.831629, h: 0
n = 47 -> x: 0, y: 0.828302, h: 0
n = 48 -> x: 0, y: 0.824989, h: 0
n = 49 -> x: 0, y: 0.821689, h: 0
n = 50 -> x: 0, y: 0.818402, h: 0
n = 51 -> x: 0, y: 0.815129, h: 0
n = 52 -> x: 0, y: 0.811868, h: 0
n = 53 -> x: 0, y: 0.808621, h: 0
n = 54 -> x: 0, y: 0.805386, h: 0
n = 55 -> x: 0, y: 0.802165, h: 0
n = 56 -> x: 0, y: 0.798956, h: 0
n = 57 -> x: 0, y: 0.79576, h: 0
n = 58 -> x: 0, y: 0.792577, h: 0
n = 59 -> x: 0, y: 0.789407, h: 0
n = 60 -> x: 0, y: 0.786249, h: 0
n = 61 -> x: 0, y: 0.783104, h: 0
n = 62 -> x: 0, y: 0.779972, h: 0
n = 63 -> x: 0, y: 0.776852, h: 0
n = 64 -> x: 0, y: 0.773745, h: 0
n = 65 -> x: 0, y: 0.77065, h: 0
n = 66 -> x: 0, y: 0.767567, h: 0
n = 67 -> x: 0, y: 0.764497, h: 0
n = 68 -> x: 0, y: 0.761439, h: 0
n = 69 -> x: 0, y: 0.758393, h: 0
n = 70 -> x: 0, y: 0.755359, h: 0
n = 71 -> x: 0, y: 0.752338, h: 0
n = 72 -> x: 0, y: 0.749329, h: 0
n = 73 -> x: 0, y: 0.746331, h: 0
n = 74 -> x: 0, y: 0.743346, h: 0
n = 75 -> x: 0, y: 0.740373, h: 0
n = 76 -> x: 0, y: 0.737411, h: 0
n = 77 -> x: 0, y: 0.734462, h: 0
n = 78 -> x: 0, y: 0.731524, h: 0
n = 79 -> x: 0, y: 0.728598, h: 0
n = 80 -> x: 0, y: 0.725683, h: 0
n = 81 -> x: 0, y: 0.72278, h: 0
n = 82 -> x: 0, y: 0.719889, h: 0
n = 83 -> x: 0, y: 0.71701, h: 0
n = 84 -> x: 0, y: 0.714142, h: 0
n = 85 -> x: 0, y: 0.711285, h: 0
n = 86 -> x: 0, y: 0.70844, h: 0
n = 87 -> x: 0, y: 0.705606, h: 0
n = 88 -> x: 0, y: 0.702784, h: 0
n = 89 -> x: 0, y: 0.699973, h: 0
n = 90 -> x: 0, y: 0.697173, h: 0
n = 91 -> x: 0, y: 0.694384, h: 0
n = 92 -> x: 0, y: 0.691607, h: 0
n = 93 -> x: 0, y: 0.68884, h: 0
n = 94 -> x: 0, y: 0.686085, h: 0
n = 95 -> x: 0, y: 0.68334, h: 0
n = 96 -> x: 0, y: 0.680607, h: 0
n = 97 -> x: 0, y: 0.677885, h: 0
n = 98 -> x: 0, y: 0.675173, h: 0
n = 99 -> x: 0, y: 0.672472, h: 0
n = 100 -> x: 0, y: 0.669783, h: 0
n = 101 -> x: 0, y: 0.667103, h: 0
n = 102 -> x: 0, y: 0.664435, h: 0
n = 103 -> x: 0, y: 0.661777, h: 0
n = 104 -> x: 0, y: 0.65913, h: 0
n = 105 -> x: 0, y: 0.656494, h: 0
n = 106 -> x: 0, y: 0.653868, h: 0
n = 107 -> x: 0, y: 0.651252, h: 0
n = 108 -> x: 0, y: 0.648647, h: 0
n = 109 -> x: 0, y: 0.646053, h: 0
n = 110 -> x: 0, y: 0.643468, h: 0
n = 111 -> x: 0, y: 0.640895, h: 0
n = 112 -> x: 0, y: 0.638331, h: 0
n = 113 -> x: 0, y: 0.635778, h: 0
n = 114 -> x: 0, y: 0.633235, h: 0
n = 115 -> x: 0, y: 0.630702, h: 0
n = 116 -> x: 0, y: 0.628179, h: 0
n = 117 -> x: 0, y: 0.625666, h: 0
n = 118 -> x: 0, y: 0.623163, h: 0
n = 119 -> x: 0, y: 0.620671, h: 0
n = 120 -> x: 0, y: 0.618188, h: 0
n = 121 -> x: 0, y: 0.615715, h: 0
n = 122 -> x: 0, y: 0.613252, h: 0
n = 123 -> x: 0, y: 0.610799, h: 0
n = 124 -> x: 0, y: 0.608356, h: 0
n = 125 -> x: 0, y: 0.605923, h: 0
n = 126 -> x: 0, y: 0.603499, h: 0
n = 127 -> x: 0, y: 0.601085, h: 0
n = 128 -> x: 0, y: 0.598681, h: 0
n = 129 -> x: 0, y: 0.596286, h: 0
n = 130 -> x: 0, y: 0.593901, h: 0
n = 131 -> x: 0, y: 0.591525, h: 0
n = 132 -> x: 0, y: 0.589159, h: 0
n = 133 -> x: 0, y: 0.586803, h: 0
n = 134 -> x: 0, y: 0.584455, h: 0
n = 135 -> x: 0, y: 0.582118, h: 0
n = 136 -> x: 0, y: 0.579789, h: 0
n = 137 -> x: 0, y: 0.57747, h: 0
n = 138 -> x: 0, y: 0.57516, h: 0
n = 139 -> x: 0, y: 0.572859, h: 0
n = 140 -> x: 0, y: 0.570568, h: 0
n = 141 -> x: 0, y: 0.568286, h: 0
n = 142 -> x: 0, y: 0.566013, h: 0
n = 143 -> x: 0, y: 0.563748, h: 0
n = 144 -> x: 0, y: 0.561493, h: 0
n = 145 -> x: 0, y: 0.559248, h: 0
n = 146 -> x: 0, y: 0.557011, h: 0
n = 147 -> x: 0, y: 0.554782, h: 0
n = 148 -> x: 0, y: 0.552563, h: 0
n = 149 -> x: 0, y: 0.550353, h: 0
n = 150 -> x: 0, y: 0.548152, h: 0
n = 151 -> x: 0, y: 0.545959, h: 0
n = 152 -> x: 0, y: 0.543775, h: 0
n = 153 -> x: 0, y: 0.5416, h: 0
n = 154 -> x: 0, y: 0.539434, h: 0
n = 155 -> x: 0, y: 0.537276, h: 0
n = 156 -> x: 0, y: 0.535127, h: 0
n = 157 -> x: 0, y: 0.532986, h: 0
n = 158 -> x: 0, y: 0.530854, h: 0
n = 159 -> x: 0, y: 0.528731, h: 0
n = 160 -> x: 0, y: 0.526616, h: 0
n = 161 -> x: 0, y: 0.52451, h: 0
n = 162 -> x: 0, y: 0.522412, h: 0
n = 163 -> x: 0, y: 0.520322, h: 0
n = 164 -> x: 0, y: 0.518241, h: 0
n = 165 -> x: 0, y: 0.516168, h: 0
n = 166 -> x: 0, y: 0.514103, h: 0
n = 167 -> x: 0, y: 0.512047, h: 0
n = 168 -> x: 0, y: 0.509998, h: 0
n = 169 -> x: 0, y: 0.507958, h: 0
n = 170 -> x: 0, y: 0.505927, h: 0
n = 171 -> x: 0, y: 0.503903, h: 0
n = 172 -> x: 0, y: 0.501887, h: 0
